Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh Today Media,35.4,-,-,-,16.17,5.24,22.16,47.5,25.2,11.67%,21.65%,2.61%,8.59%,136.00%,0.36,-,6.27%,9.88%,5.55,32.95,36.66,61.83,,,,,,,,,,,,,,,,,,,,
Madras Fertilizers,95,-1.40%,96.87,"3,41,515","1,530.46",24.11,19.56,134,66.5,8.46%,34.64%,-5.87%,110.41%,447.55%,-46.49,-,-64.56%,-249.02%,3.06,86.63,92.24,56.71,,,,,,,,,,,,,,,,,,,,
Magadh Sugar & Energy,717.6,-2.69%,740,"12,490","1,011.22",9.47,20.08,"1,010.00",440.05,4.03%,38.20%,2.40%,126.66%,547.07%,1.24,1.70%,15.61%,21.77%,79.69,699.54,694.76,59.07,,,,,,,,,,,,,,,,,,,,
Magellanic Cloud,80.58,1.14%,80.45,"5,95,311","4,709.06",45.3,41.34,84.5,42.49,10.16%,59.41%,6.17%,6.17%,6.17%,9,-,-,26.14%,-,71.06,-,57.36,,,,,,,,,,,,,,,,,,,,
Magnum Ventures,28.52,1.42%,29.02,"1,27,422",189.41,18.56,28.98,56.6,23.1,11.54%,9.48%,-45.43%,134.54%,863.51%,1.12,-,12.14%,1.48%,0.37,26.89,37.21,50.01,,,,,,,,,,,,,,,,,,,,
Magson Retail & Distribution,137,-1.58%,136.5,"2,000",107.55,253.09,35.81,166.1,75.5,10.48%,33.53%,47.47%,43.16%,43.16%,4.4,-,-,17.45%,-,126.32,103.88,64.58,,,,,,,,,,,,,,,,,,,,
Maha Rashtra Apex Corporation,116.49,-1.65%,117.6,"10,082",164.83,16.15,32.57,218.35,97.81,3.21%,8.35%,-33.99%,45.07%,94.47%,0.36,-,-,75.47%,-,116.49,139.85,47.58,,,,,,,,,,,,,,,,,,,,
Mahalaxmi Fabric Mills,30.34,-5.01%,32.5,"8,837",32.22,9.09,35.08,118.2,26.22,1.40%,0.83%,-72.93%,-72.93%,-72.93%,0.34,-,-,4.37%,-,30.58,-,53.68,,,,,,,,,,,,,,,,,,,,
Mahalaxmi Rubtech,218.1,-0.77%,221.68,"17,602",231.63,25.62,28.71,325.8,138.5,-7.21%,3.06%,1.25%,179.69%,323.58%,2.55,-,-,15.91%,-,226.12,205.05,48.81,,,,,,,,,,,,,,,,,,,,
Mahamaya Steel Industries,308.05,-1.89%,308.05,716,506.26,71.27,32.88,328.85,96.15,14.97%,28.35%,207.44%,386.27%,257.57%,3.47,-,-,8.22%,-,271.4,225.71,64.14,,,,,,,,,,,,,,,,,,,,
Mahanagar Gas,"1,375.60",-2.47%,"1,414.90","4,41,035","13,587.87",13.39,35.52,"1,988.00","1,075.25",-2.38%,5.86%,-4.87%,85.65%,28.06%,2.37,2.13%,24.86%,30.54%,121.15,"1,347.88","1,427.76",56.62,,,,,,,,,,,,,,,,,,,,
Mahanagar Telephone Nigam,54.6,3.29%,53.4,"2,76,32,246","3,439.80",-,32.27,101.93,37.42,31.82%,26.27%,27.48%,180.00%,520.45%,-0.12,-,13.98%,-60.75%,-,44.6,48.7,62.49,,,,,,,,,,,,,,,,,,,,
Maharashtra Scooters,"14,301.00",-2.79%,"14,650.00","6,627","16,344.00",97.79,32.57,"14,820.00","7,723.80",26.07%,53.08%,83.04%,294.49%,491.23%,0.54,1.16%,-,0.69%,-,"12,121.33","10,544.78",69.29,,,,,,,,,,,,,,,,,,,,
Maharashtra Seamless,705.35,-1.95%,722.5,"5,95,094","9,451.64",12.37,30.86,814.3,566.5,3.70%,8.17%,2.51%,127.77%,561.80%,1.52,1.39%,16.61%,20.00%,65.23,682.3,662.31,54.87,,,,,,,,,,,,,,,,,,,,
Maheshwari Logistics,59.05,0.34%,58.79,"24,626",174.77,9.6,35.81,81,53.52,3.43%,7.34%,-8.29%,-23.95%,-33.97%,0.88,-,8.07%,16.06%,4.46,57.64,61.11,52.29,,,,,,,,,,,,,,,,,,,,
Mahickra Chemicals,119.75,-7.17%,118.5,"11,250",97.26,41.35,31.75,148.75,89.8,3.14%,14.05%,7.88%,69.86%,70.95%,2.94,-,10.10%,7.82%,1.32,119.27,110.66,54.13,,,,,,,,,,,,,,,,,,,,
Mahindra EPC Irrigation,140.43,-1.40%,143,"53,154",392.28,55.12,30.71,179.65,96.5,-2.87%,27.36%,-15.65%,43.52%,-2.51%,2.3,-,-,3.09%,-,138.03,127.21,51.42,,,,,,,,,,,,,,,,,,,,
Mahindra Holidays,347.9,-2.69%,357.5,"59,151","7,028.17",56.44,43.96,505,259,5.17%,15.95%,-17.64%,59.15%,213.71%,-47.99,-,21.76%,3.97%,6,329.53,353.62,58.48,,,,,,,,,,,,,,,,,,,,
Mahindra Lifespaces Developers,347.6,-1.21%,350,"2,67,939","7,412.42",122.47,27.46,594.43,256.06,22.82%,24.05%,-38.22%,-6.15%,444.40%,2.21,0.58%,5.25%,2.44%,7.43,309.42,392.86,66.3,,,,,,,,,,,,,,,,,,,,
Mahindra Logistic,345.4,-0.45%,347.9,"1,57,294","2,491.42",-,35.52,554.7,238.2,12.42%,40.68%,-25.72%,-24.73%,19.89%,5.7,0.72%,-10.33%,4.04%,-,304.83,369.71,73.41,,,,,,,,,,,,,,,,,,,,
Maithan Alloys,"1,212.30",0.20%,"1,224.00","92,266","3,529.19",5.6,17.48,"1,303.70",835.25,25.69%,35.12%,0.58%,38.28%,193.11%,0.94,1.32%,17.79%,14.02%,119.87,991.8,"1,032.88",73.81,,,,,,,,,,,,,,,,,,,,
Maitreya Medicare,287.9,1.02%,287.9,400,195.08,103.26,53.31,400,111,2.09%,23.11%,116.38%,86.40%,86.40%,7.23,-,-,14.77%,-,294.05,316.37,50.11,,,,,,,,,,,,,,,,,,,,
Maks Energy Solutions,29.25,-,-,-,20.28,-,44.35,79.85,25.5,5.98%,3.91%,-46.28%,33.56%,33.56%,1.31,-,-,24.90%,-,28.65,44.78,47.61,,,,,,,,,,,,,,,,,,,,
Mallcom,"1,084.70",0.06%,"1,090.00","5,775",676.85,17.93,35.08,"1,785.00",996.05,-10.36%,-6.52%,3.20%,64.99%,18.78%,2.27,-,-,21.63%,-,"1,171.13","1,360.78",38.35,,,,,,,,,,,,,,,,,,,,
Malu Paper Mills,41.1,-2.42%,41.53,"13,514",70.11,78.48,28.98,55.9,31.21,5.47%,19.20%,14.80%,38.15%,33.88%,-12.42,-,-164.33%,60.41%,0.52,38.01,42.55,61.16,,,,,,,,,,,,,,,,,,,,
Mamaearth,313.65,-0.92%,317,"2,78,991","10,199.38",141.21,35.81,547,197.51,26.47%,46.22%,-27.08%,-6.96%,-6.96%,8.72,-,10.09%,12.82%,3.89,264.29,307.21,66.51,,,,,,,,,,,,,,,,,,,,
Mamata Machinery,433.9,-1.61%,444.25,"2,23,916","1,067.73",26.65,39.32,630,311.55,18.18%,24.85%,-31.13%,-31.13%,-31.13%,6.34,0.11%,-,35.36%,-,385.22,-,69.6,,,,,,,,,,,,,,,,,,,,
Man Industries,379.75,0.01%,380.85,"4,10,104","2,458.32",16.05,32.88,513.7,201.55,20.84%,53.17%,-1.17%,388.74%,900.40%,1.53,-,6.77%,14.64%,17.43,314.63,318.4,67.7,,,,,,,,,,,,,,,,,,,,
Man Infraconstruction,167.2,-3.21%,173.3,"10,95,167","6,274.84",22.94,27.46,262.8,135.1,5.06%,17.47%,-17.23%,90.00%,1259.35%,3.68,0.52%,20.00%,26.97%,7.96,158.92,186.73,57.2,,,,,,,,,,,,,,,,,,,,
Manaksia,76.85,5.33%,72.45,"3,98,922",503.63,7.91,35.81,113.8,54.52,10.32%,22.47%,-23.44%,-2.16%,106.86%,0.84,-,9.37%,19.79%,14.41,67.61,81.79,55.31,,,,,,,,,,,,,,,,,,,,
Manaksia Aluminium Company,27.63,-3.83%,28.42,"35,403",181.07,31.14,27.08,35.88,17.81,2.11%,24.57%,-5.47%,30.95%,184.85%,1.39,-,-,16.07%,-,25.76,27.53,59.46,,,,,,,,,,,,,,,,,,,,
Manaksia Coated Metals & Ind,123,-3.92%,129.6,"88,553",913.51,69.84,32.88,134.8,56.7,38.39%,60.62%,72.27%,474.77%,2760.46%,4.48,0.04%,-,20.47%,-,94.8,85.51,74.76,,,,,,,,,,,,,,,,,,,,
Manaksia Steels,60.31,-1.52%,61.2,"20,108",395.24,38.56,32.88,77.14,43.05,0.37%,25.44%,9.20%,56.04%,524.97%,1.38,-,-,14.84%,-,58.9,59.44,46.87,,,,,,,,,,,,,,,,,,,,
Manali Petrochemicals,64.34,9.59%,59,"64,33,269","1,106.64",32.09,25.39,104.95,49.93,23.37%,4.65%,-27.09%,-34.78%,262.48%,0.92,0.85%,4.85%,3.75%,1.69,56.04,65.39,55.39,,,,,,,,,,,,,,,,,,,,
Manappuram Finance,271.05,1.02%,268.5,"84,01,796","22,942.61",18.67,32.57,274,138.35,17.47%,31.28%,46.76%,206.27%,85.78%,1.83,1.30%,18.98%,12.93%,26.55,233.16,199.43,81.21,,,,,,,,,,,,,,,,,,,,
Manav Infra Projects,15.6,-,-,-,21.33,-,27.46,25.05,10.5,35.06%,38.67%,-19.38%,160.00%,262.79%,5.77,-,-18.54%,112.24%,-,13.89,12.84,60.58,,,,,,,,,,,,,,,,,,,,
Manba Finance,147.19,-1.96%,150,"64,648",739.47,19.99,32.57,199.8,119,12.48%,9.67%,-3.32%,-3.32%,-3.32%,2.05,0.17%,-,12.51%,-,135.49,-,70.51,,,,,,,,,,,,,,,,,,,,
Mandeep Auto Industries,28.65,4.95%,28.6,"12,000",29.62,20.07,46.65,74.4,17.8,-0.87%,22.44%,-45.99%,-53.86%,-53.86%,0.83,-,-,27.96%,-,25.47,35.81,41.66,,,,,,,,,,,,,,,,,,,,
Mangal Credit & Fincorp,186.49,-1.35%,184.72,"26,521",364.85,27.68,32.57,201,126.1,15.30%,12.89%,28.37%,28.37%,28.37%,2.62,0.40%,7.41%,14.40%,6.04,169.73,155.68,59.33,,,,,,,,,,,,,,,,,,,,
Mangalam Alloys,60.35,4.96%,60.35,"1,24,800",148.98,53.89,32.88,57.5,26.25,87.13%,78.29%,50.31%,-20.59%,-20.59%,1.25,-,-,11.01%,-,34.28,37.59,84.33,,,,,,,,,,,,,,,,,,,,
Mangalam Cement,785.9,-0.57%,789.9,"55,749","2,161.01",48.15,54.95,"1,093.70",665,3.82%,6.59%,-11.21%,164.21%,341.89%,2.55,0.19%,7.36%,13.40%,22.58,793.78,850.07,51.62,,,,,,,,,,,,,,,,,,,,
Mangalam Drugs & Organics,82.1,-1.66%,83.6,"84,924",129.95,19.74,43.06,144.99,70.1,6.97%,1.70%,-23.24%,-45.86%,23.92%,0.89,-,0.84%,1.68%,-,79.06,103.46,58.08,,,,,,,,,,,,,,,,,,,,
Mangalam Global Enterprise,13.31,5.63%,12.61,"43,36,478",438.64,17.08,35.81,30.43,9.75,3.26%,-10.25%,27.37%,-67.78%,125.59%,2.09,0.08%,-,26.88%,-,13.33,13.09,48.93,,,,,,,,,,,,,,,,,,,,
Mangalam Organics,565.35,0.46%,574,817,484.19,38.54,36.4,720,340.1,36.29%,36.26%,58.25%,-12.37%,-37.70%,1.66,-,-,6.44%,-,474.68,474.01,62.58,,,,,,,,,,,,,,,,,,,,
Mangalam Worldwide,167,0.60%,166,"2,400",409.16,17.85,32.88,184,126.15,5.56%,11.59%,19.20%,62.85%,62.85%,1.93,-,12.35%,17.01%,11.33,161.19,155.5,61.39,,,,,,,,,,,,,,,,,,,,
Mangalore Chemicals & Fertilizers,274,-0.85%,277.75,"2,19,872","3,247.32",22.63,19.56,301.75,116.19,17.17%,95.42%,131.40%,166.80%,635.57%,3.06,0.55%,16.77%,25.16%,12.61,227.5,167.25,71.84,,,,,,,,,,,,,,,,,,,,
Mangalore Refinery & Petroleum,141.88,-2.76%,147.2,"24,19,090","24,865.87",456.09,61.71,253.56,98.92,7.62%,26.58%,-33.58%,27.53%,333.88%,1.97,-,27.08%,28.77%,15.18,137.33,147.76,57.86,,,,,,,,,,,,,,,,,,,,
Manglam Infra & Engineering,22.5,-3.43%,22.55,"8,000",39.59,13.95,35.52,123.1,20,-11.24%,-6.44%,-79.86%,-79.86%,-79.86%,0.93,-,-,49.62%,-,25.33,42.43,38.82,,,,,,,,,,,,,,,,,,,,
Mankind Pharma,"2,395.60",0.71%,"2,379.00","3,52,500","98,837.31",49.4,43.06,"3,054.80","1,901.05",-4.18%,10.58%,7.66%,68.43%,68.43%,6.85,-,20.28%,24.72%,48.99,"2,458.89","2,526.47",41.95,,,,,,,,,,,,,,,,,,,,
Manoj Vaibhav Gems,245.8,-2.56%,254.45,"1,79,833","1,200.67",12.25,39.14,330.9,180.9,13.50%,24.12%,2.94%,14.06%,14.06%,1.71,-,20.78%,22.46%,16.57,224.49,241.79,57.52,,,,,,,,,,,,,,,,,,,,
Manomay Tex,171.8,-0.78%,174.5,"3,079",310.08,16.34,35.08,314.95,146,-2.04%,-6.20%,-5.95%,35.76%,35.76%,2.12,-,-,10.65%,-,171.74,198.52,55.09,,,,,,,,,,,,,,,,,,,,
Manorama Industries,"1,416.30",2.50%,"1,400.00","1,15,830","8,441.01",74.85,39.33,"1,513.30",604.05,-1.11%,38.13%,115.08%,590.31%,590.31%,17.87,0.04%,11.90%,18.56%,7.06,"1,257.33","1,061.15",52.43,,,,,,,,,,,,,,,,,,,,
Manugraph,21.39,-1.56%,21.95,"11,340",65.06,-,39.32,31,14.17,29.48%,41.66%,1.13%,62.05%,141.69%,0.66,-,-,-6.34%,-,18.57,20.76,59.36,,,,,,,,,,,,,,,,,,,,
Maral Overseas,72.31,-1.97%,73.7,"25,257",300.14,-,23.14,97.17,55.7,6.10%,12.28%,2.93%,3.08%,467.14%,2.86,-,-7.42%,6.56%,-,70.48,74.88,53.09,,,,,,,,,,,,,,,,,,,,
Marathon NextGen Realty,602.9,0.51%,600,"85,055","3,087.34",16.46,27.46,736.9,352.05,18.02%,57.29%,32.68%,223.70%,1062.78%,2.59,0.17%,14.22%,16.12%,32.51,512.4,559.72,71.83,,,,,,,,,,,,,,,,,,,,
Marco Cables & Conductors,44.5,-0.56%,43.8,"3,000",83.21,16.1,32.54,81.5,33.1,4.34%,9.20%,0.23%,9.61%,9.61%,2.6,-,17.98%,22.52%,1.62,43.92,56.57,50.76,,,,,,,,,,,,,,,,,,,,
Marico,693.2,-1.01%,703.8,"13,25,129","89,803.89",55.73,20.31,740.2,577.85,-6.08%,15.47%,10.12%,38.60%,108.29%,22.84,1.49%,36.03%,40.39%,11.73,703.97,662.33,45.13,,,,,,,,,,,,,,,,,,,,
Marine Electricals,234.73,1.61%,236,"17,53,456","3,237.97",82.8,44.35,333,123.1,20.60%,40.62%,77.60%,744.35%,1179.18%,7.89,-,-,16.91%,-,198.1,219.2,65.55,,,,,,,,,,,,,,,,,,,,
Marinetrans India,17,-,-,-,21.63,65.38,35.52,34,13.8,-,11.11%,-39.29%,-45.16%,-45.16%,0.85,-,-,5.97%,-,18.48,25.68,45.68,,,,,,,,,,,,,,,,,,,,
Marksans Pharma,261.55,-0.76%,263.55,"16,05,609","11,855.76",31.39,47.58,358.7,154.86,17.44%,32.36%,67.02%,484.47%,753.34%,4.84,0.30%,15.03%,18.97%,7.37,231.68,261.57,53.86,,,,,,,,,,,,,,,,,,,,
Marvel Decor,104,-0.43%,103.8,"3,000",184.5,47.48,35.08,143.25,82,4.00%,4.16%,-2.80%,240.98%,333.33%,2.96,-,4.74%,9.83%,2.02,95.82,105.76,56.34,,,,,,,,,,,,,,,,,,,,
MAS Financial Services,295.15,-2.07%,302.9,"78,610","5,355.60",17.62,32.57,328,220.06,9.97%,20.02%,-2.41%,69.45%,30.36%,2.1,0.56%,13.32%,10.67%,14.65,274.59,271.11,66.85,,,,,,,,,,,,,,,,,,,,
Mask Investments,149,-,149.5,54,45.47,"1,354.55",32.57,292.46,68.6,-11.31%,-13.67%,101.38%,351.52%,621.55%,0.46,-,0.06%,0.03%,0.09,166.26,166.55,41.96,,,,,,,,,,,,,,,,,,,,
Mason Infratech,132,0.96%,129,"30,000",231.96,13.45,27.46,218.75,73.5,24.29%,50.86%,42.86%,42.86%,42.86%,3.45,-,-,62.00%,-,107.92,124.68,60.63,,,,,,,,,,,,,,,,,,,,
Mastek,"2,429.60",-1.51%,"2,510.00","1,55,846","7,517.16",20.59,41.34,"3,375.00","1,887.00",7.42%,4.87%,-11.90%,-0.31%,743.17%,3.1,0.93%,17.48%,16.60%,98.56,"2,234.18","2,640.28",61.86,,,,,,,,,,,,,,,,,,,,
Master Components,330,-,-,-,132,32.16,30.71,425,250,-11.47%,21.77%,17.86%,135.38%,135.38%,4.48,-,-,15.48%,-,323.29,280.51,45.17,,,,,,,,,,,,,,,,,,,,
Master Trust,161.61,-2.56%,164.55,"3,38,357","1,814.33",14.21,32.57,197,105.2,4.16%,42.09%,-7.79%,-7.79%,-7.79%,2.92,-,-,30.04%,-,147.55,-,62.11,,,,,,,,,,,,,,,,,,,,
Matrimony.com,513.5,0.21%,514.95,"13,351","1,107.28",25.12,35.52,849.9,487,1.11%,-3.41%,-15.87%,-33.60%,49.14%,4.7,0.95%,17.00%,20.90%,22.16,506.19,630.82,57.26,,,,,,,,,,,,,,,,,,,,
Mawana Sugars,106.24,-2.38%,109.05,"72,035",415.58,7.4,20.08,137,78.43,19.64%,25.89%,-1.71%,2.15%,220.97%,0.87,3.67%,9.18%,31.61%,12.45,94.16,100.52,73.14,,,,,,,,,,,,,,,,,,,,
Max Estates,505.25,-2.43%,517.95,"65,621","8,134.24",205.1,27.46,698.75,341.1,22.29%,38.16%,23.94%,78.50%,78.50%,3.67,-,-3.80%,-1.01%,-,441.36,517.81,60.58,,,,,,,,,,,,,,,,,,,,
Max Financial Services,"1,516.40",-1.28%,"1,537.40","3,00,510","52,333.20",160.3,32.57,"1,553.70",940.15,17.28%,42.81%,57.19%,86.14%,210.17%,10.05,-,8.99%,9.36%,11,"1,323.56","1,177.32",77.65,,,,,,,,,,,,,,,,,,,,
Max Healthcare Institute,"1,204.40",1.46%,"1,191.60","31,57,935","1,17,084.79",101.82,53.31,"1,227.95",807.5,3.84%,21.69%,38.36%,242.26%,977.76%,12.28,0.13%,14.89%,13.26%,10.84,"1,131.44","1,052.57",57.18,,,,,,,,,,,,,,,,,,,,
Max India,189.89,-2.77%,196.27,"85,065",975.57,-,32.57,319.29,159.65,1.59%,13.18%,-30.32%,188.41%,164.51%,2.1,-,-1.92%,-8.15%,-,186.3,222.71,42.33,,,,,,,,,,,,,,,,,,,,
Maxposure,57,-0.96%,56.7,"7,000",129.62,15.39,22.16,139,49.6,-2.40%,-4.20%,-36.03%,-58.62%,-58.62%,1.73,-,14.39%,20.42%,3.18,58.42,82.23,44.35,,,,,,,,,,,,,,,,,,,,
Maxvolt Energy Industries,225.1,-3.10%,228,"4,000",245.45,25.03,46.65,274.8,145.05,16.06%,32.37%,24.43%,24.43%,24.43%,3.69,-,-,53.25%,-,202.07,-,57.14,,,,,,,,,,,,,,,,,,,,
Mayur Uniquoters,584.95,-1.30%,587.3,"40,242","2,541.76",17.44,33.69,700,441,1.67%,25.31%,-3.93%,58.31%,248.29%,2.73,0.83%,13.83%,18.33%,29.42,526.86,561.67,63.58,,,,,,,,,,,,,,,,,,,,
Mazagon Dock Shipbuilders,"3,221.70",-2.80%,"3,313.90","22,36,575","1,29,956.93",55.39,35.52,"3,775.00","1,585.00",10.92%,42.81%,101.37%,2443.18%,3647.03%,16.84,0.39%,21.98%,35.66%,96.04,"3,033.88","2,424.07",55.33,,,,,,,,,,,,,,,,,,,,
Mazda,247.95,-1.29%,254.7,"13,249",496.52,20.21,39.32,"2,144.40",205,11.82%,5.38%,-82.39%,-54.32%,336.30%,2.18,1.44%,-,19.52%,-,246.1,268.57,47.75,,,,,,,,,,,,,,,,,,,,
MBL Infrastructures,46.18,-1.18%,47.66,"3,08,679",553.03,-,27.46,85.09,32.51,8.63%,30.60%,-16.88%,141.78%,805.49%,0.6,-,-,-0.55%,-,44.62,53.19,62.92,,,,,,,,,,,,,,,,,,,,
McLeod Russel,35.12,-2.98%,36.3,"2,60,011",366.85,-,40.5,51.83,24.06,9.85%,19.17%,41.84%,74.73%,432.12%,-1.95,-,-,-37.78%,-,34.19,34.71,67.57,,,,,,,,,,,,,,,,,,,,
Mcon Rasayan,111.9,0.04%,111,"28,000",81.94,36.08,45.92,244.35,108.2,-15.23%,-17.02%,-25.89%,122.02%,122.02%,2.47,-,-,21.97%,-,132.16,161.57,34.44,,,,,,,,,,,,,,,,,,,,
MCX,"7,571.50",-1.36%,"7,560.00","6,99,360","38,613.42",69.88,35.52,"8,008.50","3,620.30",24.91%,58.62%,99.61%,508.32%,523.32%,20.77,0.39%,10.07%,4.60%,34.19,"6,168.98","5,922.80",82.44,,,,,,,,,,,,,,,,,,,,
Medi Assist Healthcare,496.3,-0.89%,504.55,"71,402","3,499.89",38.93,35.52,716.15,415.25,8.34%,13.83%,-12.09%,6.94%,6.94%,6.54,-,19.63%,16.48%,12.98,470.45,552.82,62.03,,,,,,,,,,,,,,,,,,,,
Medicamen Biotech,422.1,-0.68%,427.5,"24,302",536.68,81.28,47.58,630,375.05,-3.35%,-4.49%,-11.97%,-33.22%,-23.53%,2.24,0.22%,7.62%,8.32%,5.81,449.45,480.83,41.16,,,,,,,,,,,,,,,,,,,,
Medicamen Organics,45.15,1.92%,45.15,"8,000",52.83,12.8,47.58,159.4,19.6,72.66%,65.08%,-68.80%,-68.80%,-68.80%,1.76,-,-,24.10%,-,29.84,46.87,87.8,,,,,,,,,,,,,,,,,,,,
Medico Remedies,47.63,-0.94%,48.75,"87,518",395.25,38.96,43.06,79.83,35.67,-13.34%,-18.06%,19.08%,124.35%,96.82%,6.31,-,-,22.78%,-,54.45,54.79,34.37,,,,,,,,,,,,,,,,,,,,
Medplus Health Services,891.2,0.37%,881.2,"2,31,607","10,667.11",70.65,35.81,"1,045.30",616,7.95%,26.40%,27.34%,19.59%,-20.51%,6.1,-,3.36%,6.85%,6.36,840.75,761.51,51.26,,,,,,,,,,,,,,,,,,,,
Mega Flex Plastics,60.95,4.37%,60.95,"3,000",67.67,20.71,24.63,75,34.05,-3.25%,17.55%,74.14%,12.45%,12.45%,1.28,-,-,3.71%,-,55.83,49.54,44.33,,,,,,,,,,,,,,,,,,,,
Megasoft,100,-3.17%,103,"2,90,339",737.7,-,43.06,111,49.06,50.20%,72.80%,48.15%,137.81%,1826.78%,6.63,-,-,7.44%,-,70.63,69.99,79.21,,,,,,,,,,,,,,,,,,,,
Megastar Foods,245.6,-1.78%,254.7,"4,365",277.37,74.4,39.33,374.5,187.61,11.63%,18.11%,-5.30%,39.59%,116.39%,3.01,-,21.88%,9.50%,4.14,223.85,242.78,56.02,,,,,,,,,,,,,,,,,,,,
Megatherm Induction,349,1.96%,344.3,"34,800",657.54,30.27,39.32,490,255,17.81%,23.63%,7.80%,67.87%,67.87%,4.55,-,-,25.75%,-,305.55,325.02,59.02,,,,,,,,,,,,,,,,,,,,
Meghmani Organics,91.58,0.34%,91.7,"8,94,794","2,329.01",-,40.46,115.95,56.11,22.37%,43.77%,10.71%,-23.11%,2.61%,1.53,-,-6.94%,4.17%,-,75.73,85.22,75.41,,,,,,,,,,,,,,,,,,,,
Menon Bearings,121.51,-1.75%,123.69,"39,124",680.94,27.72,46.65,158,86,17.73%,32.61%,-3.82%,62.01%,278.54%,4.36,1.62%,24.45%,21.62%,4.14,107.42,114.8,69.87,,,,,,,,,,,,,,,,,,,,
MEP Infrastructure Developers,2.38,1.71%,2.38,"35,238",43.66,-,27.46,9.34,1.14,46.91%,32.22%,-71.15%,-88.07%,-88.98%,-0.11,-,-,49.00%,-,1.62,4.03,93.67,,,,,,,,,,,,,,,,,,,,
Metro Brands,"1,221.00",-2.28%,"1,249.50","33,813","33,236.17",96.86,33.69,"1,430.00",990.05,12.42%,14.26%,8.58%,116.47%,147.49%,19.87,1.60%,23.08%,19.01%,15.13,"1,127.22","1,190.02",69.55,,,,,,,,,,,,,,,,,,,,
Metropolis Healthcare,"1,742.60",3.19%,"1,688.80","1,75,599","8,936.25",60.39,53.31,"2,318.30","1,315.00",1.77%,7.35%,-10.67%,16.22%,19.95%,6.58,-,11.69%,15.06%,26.74,"1,658.46","1,907.45",54.3,,,,,,,,,,,,,,,,,,,,
MIC Electronics,64.81,-1.77%,66.25,"6,47,658","1,562.00",161,67.22,114.79,49.5,10.84%,11.30%,23.45%,322.21%,336.43%,7.15,-,-,1.59%,-,58.36,75.88,67.32,,,,,,,,,,,,,,,,,,,,
Micropro Software Solutions,23,-,-,-,32.89,12.05,41.34,49.4,18.05,-2.75%,-9.45%,-49.95%,-69.74%,-69.74%,0.72,-,35.93%,10.68%,2.17,23.81,33.63,43.61,,,,,,,,,,,,,,,,,,,,
Milton Industries,30.25,-,-,-,51.41,43.21,35.52,46.8,26.5,-5.47%,13.72%,-5.91%,88.47%,147.95%,1.08,-,6.66%,12.18%,1.88,35.62,36.68,44.46,,,,,,,,,,,,,,,,,,,,
Minda Corporation,555.15,-3.13%,576.85,"1,35,478","13,272.49",53.72,46.65,652,441,15.07%,7.75%,25.06%,193.57%,782.59%,6.23,0.24%,11.37%,15.59%,10.3,514.07,530.56,69.1,,,,,,,,,,,,,,,,,,,,
Mindpool Technologies,51.55,-,-,-,21.84,224.13,41.34,85,49.1,4.99%,-5.06%,-39.35%,91.64%,329.58%,1.19,-,-,2.83%,-,70.65,52.03,30.59,,,,,,,,,,,,,,,,,,,,
Mindteck,241.3,-3.13%,251,"44,489",770.04,26.47,41.34,368,145,6.89%,38.79%,5.33%,163.20%,1271.02%,3.06,0.40%,-,15.25%,-,211.99,249.82,61.78,,,,,,,,,,,,,,,,,,,,
MIRC Electronics,13.95,-0.78%,14.04,"1,83,757",322.18,-,20.55,32.99,11.06,4.26%,6.08%,-36.73%,6.49%,95.10%,2.6,-,-,4.38%,-,13.91,19.6,53.96,,,,,,,,,,,,,,,,,,,,
Mirza International,31.2,-1.39%,32.8,"76,221",431.19,215,33.69,49.7,25.03,5.58%,8.48%,-30.14%,-86.96%,-24.46%,0.78,-,2.18%,4.82%,0.74,30.03,36.17,54.58,,,,,,,,,,,,,,,,,,,,
Mishra Dhatu Nigam,429.95,-1.62%,437.05,"8,16,477","8,054.68",73.77,32.88,541,226.93,30.35%,62.23%,-1.09%,160.02%,118.47%,5.78,-,12.16%,7.79%,4.18,345.46,339.75,68.8,,,,,,,,,,,,,,,,,,,,
MITCON Cons. & Engg.,85.01,0.39%,85.6,"17,955",114.24,20.45,35.52,161.31,60.41,16.12%,15.46%,-32.34%,33.58%,147.70%,0.91,-,3.35%,9.69%,4.82,76.34,101.02,57.78,,,,,,,,,,,,,,,,,,,,
MITCON Cons. & Engg. - Rs. 2.50 PP,32.73,-0.33%,33.48,"1,045",13.88,-,35.52,88.62,18.41,36.95%,15.94%,-54.70%,-54.70%,-54.70%,13.14,-,-,-,-,25.97,51.93,63.82,,,,,,,,,,,,,,,,,,,,
Mittal Life Style,1.5,-,1.52,"6,34,633",33.6,50,35.81,2.65,1.42,-10.18%,-18.92%,-33.33%,50.00%,-88.43%,1.15,-,5.24%,6.73%,0.05,1.66,1.99,28.52,,,,,,,,,,,,,,,,,,,,
MK Proteins,7.18,0.70%,7.29,"2,41,814",269.52,32.45,20.31,12.88,5.4,9.45%,9.28%,-39.10%,7.65%,808.86%,3.86,-,-,26.55%,-,6.82,7.96,53.69,,,,,,,,,,,,,,,,,,,,
